compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_bulk_modulus_voigt
C4Re2,aflow:ddfc31384102a18f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C2Re1_ICSD_184663,194,hP6,353.041
N2Re2,aflow:dd3dc43bc979d6a2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/N1Re1_ICSD_187713,131,tP4,330.231
Pt5Pu1,aflow:dd6378dc5a8f1212,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pt5Pu1_ICSD_649510,216,cF24,200.489
Ag2Br2,aflow:dd18d74ff992ddea,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ag1Br1_ICSD_56550,11,mP4,38.4685
F1K1,aflow:dee45e93103a3db1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F1K1_ICSD_52241,225,cF8,29.9389
P8Sc12,aflow:de5a8809c4a11dbb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P2Sc3_ICSD_41678,62,oP20,90.7648
B2N2,aflow:de6b922183f26702,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B1N1_ICSD_77374,194,hP4,215.291
Au4P6,aflow:de8d09f7fe08f298,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Au2P3_ICSD_8058,12,mS20,84.1148
Be2Si1,aflow:de5897093b42c24b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be2Si1_ICSD_183010,225,cF12,98.7278
Ge4Zr4,aflow:de91f60bf7c435c4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Zr1_ICSD_638153,62,oP8,123.639
Pd2Y2,aflow:def4c353e411ee3e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Pd1Y1_ICSD_169021,63,oS8,83.6796
F2Sr1,aflow:deb58b05551cb76b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F2Sr1_ICSD_168800,225,cF12,66.3556
Sb4Zr4,aflow:de392fe5ed0db5b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Sb1Zr1_ICSD_107692,198,cP8,103.389
Bi1U1,aflow:de19d337ddb0c093,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi1U1_ICSD_165126,225,cF8,48.0
Mo2O4,aflow:de9041235c02ee69,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Mo1O2_ICSD_644069,136,tP6,224.854
Ce1Pb3,aflow:dec09c04ffe4a551,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ce1Pb3_ICSD_102244,221,cP4,54.8639
P2Ta2,aflow:df2bbb94cdf105c4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/P1Ta1_ICSD_108656,141,tI8,175.869
Er10Si6,aflow:df10992865481502,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er5Si3_ICSD_57268,193,hP16,78.6185
Sb2Zr4,aflow:df488c3596dd282a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Sb1Zr2_ICSD_107691,139,tI12,107.061
Bi8O12,aflow:dfaa12a3d112d79d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O3_ICSD_168811,227,cF80,27.0722
Hg6Y2,aflow:df470b37da361912,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hg3Y1_ICSD_639298,194,hP8,62.3093
C1Cr1,aflow:df3b1dca4b13cd2c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr1_ICSD_181710,225,cF8,223.033
Be2Pd6,aflow:dfe0fcbefecf7b14,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Be1Pd3_ICSD_107610,63,oS16,151.278
Dy2Sn4,aflow:df63026a09e9d913,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Dy1Sn2_ICSD_152349,63,oS12,59.563
Sc2Te2,aflow:df4292f34a7d0b14,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Sc1Te1_ICSD_43593,194,hP4,61.8778
Ga2Sc2,aflow:dfd12e82174b8990,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ga1Sc1_ICSD_103954,63,oS8,76.4722
N4Os4,aflow:dfe7200869d0d929,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/N1Os1_ICSD_167514,36,oS16,347.289
Eu1Te1,aflow:e0a2a056eb854a75,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Eu1Te1_ICSD_183959,221,cP2,38.9556
Fe4Hf2,aflow:e0cd07539f36c9d7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Fe2Hf1_ICSD_103498,227,cF24,133.194
Al3Er1,aflow:e0365637a0639785,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al3Er1_ICSD_57766,221,cP4,74.9556
Co8Y12,aflow:e029c83ecf63cb68,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co2Y3_ICSD_1844,58,oP20,64.7519
Ba1Te1,aflow:e00b430dded98dba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ba1Te1_ICSD_108097,221,cP2,31.7389
Dy12Pt4,aflow:e045e3a545c68f31,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Dy3Pt1_ICSD_630113,62,oP16,57.3315
Br1K1,aflow:e02e6c6748e87324,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Br1K1_ICSD_18015,225,cF8,13.8278
Ir1Li1,aflow:e0125a96febb0b43,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ir1Li1_ICSD_104487,187,hP2,153.402
N2Tc4,aflow:e0ac9ace77fdcf57,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N1Tc2_ICSD_182011,194,hP6,338.54
B6Ho1,aflow:e0ad2ad23e4aafc4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B6Ho1_ICSD_150624,221,cP7,169.761
Ni2Ta1,aflow:e0adf8f7e59398df,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni2Ta1_ICSD_105388,139,tI6,208.259
As1Na3,aflow:e04fbc0416e04033,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/As1Na3_ICSD_182163,225,cF16,25.8167
Ba2In4,aflow:e084a259ae8fab30,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Ba1In2_ICSD_414229,74,oI12,30.8537
Cs1I1,aflow:e0fc6d7a170c6558,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cs1I1_ICSD_61517,225,cF8,8.39444
Ta4Zn8,aflow:e0b5eca893372388,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ta1Zn2_ICSD_652937,194,hP12,143.263
Pb3Tb1,aflow:e059c8bcb764bfa2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb3Tb1_ICSD_105629,221,cP4,50.2278
